school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2022-2023,7820612,"Ivy Preparatory Academy, Inc",E,1a,Content Mastery,percentage,48,39.05746031746031,55.69301587301586,Y
2022-2023,7820120,Georgia Cyber Academy,H,1b,Progress,percentage,67,75.91410138248848,78.025222734255,N
2022-2023,7830633,D.E.L.T.A. STEAM Academy,E,1c,Grade Band Score,percentage,80.905,67.70306779661016,70.64037288135594,Y
2022-2023,7830310,Fulton Leadership Academy,Whole School Score,2c,Grade Band Score,percentage,62.23850553505535,64.85640221402213,78.07953874538745,N
2020-2021,7820612,"Ivy Preparatory Academy, Inc",M,1f,GaDOE Achievement,percentage,36.25,25.035051813471505,"",Y
2022-2023,7830627,Atlanta SMART Academy,M,1c,Grade Band Score,percentage,68.85499999999999,64.1192741935484,70.95018817204303,Y
2022-2023,7820120,Georgia Cyber Academy,H,1a,Content Mastery,percentage,60.2,55.16921658986178,60.118402457757306,Y
2022-2023,7830637,DeKalb Brilliance Academy,E,1c,Grade Band Score,percentage,"",67.30991573033708,78.58794943820224,Y
2021-2022,7830616,Genesis Innovation Academy for Girls,E,1d,Value-Add,decimal,0.1992,0.1102,"",S
2021-2022,7830310,Fulton Leadership Academy,H,1b,Progress,percentage,65.3,68.8,"",N
2021-2022,7830618,SAIL Charter Academy - School for Arts-Infused Learning,E,1d,Value-Add,decimal,-0.1945,0.0083,"",N
2022-2023,7830614,Liberty Tech Charter Academy,E,1b,Progress,percentage,85.9,86.90986842105264,88.19210526315788,S
2020-2021,7830103,Statesboro STEAM Academy,M,1f,GaDOE Achievement,percentage,47.9425,44.70716867469879,"",Y
2021-2022,7820616,Georgia School for Innovation and the Classics,E,1b,Progress,percentage,73.8,74.7,"",S
2021-2022,7820615,Scintilla Charter Academy,E,1d,Value-Add,decimal,0.0277,-0.0202,"",S
2022-2023,7820412,Georgia Connections Academy,E,1d,Value-Add,decimal,-0.15066713094711304,-0.00256347118302358,-0.0003954290395284943,N
2022-2023,7830410,Atlanta Heights Charter School,Whole School Score,2a,Content Mastery,percentage,39.13960396039605,32.03428217821782,53.48056930693072,Y
2020-2021,7830613,Brookhaven Innovation Academy,E,1a-a,Content Mastery Adjusted,percentage,48.830491209177495,32.42752821260387,"",Y
2021-2022,7830636,Northwest Classical Academy,M,1d,Value-Add,decimal,-0.0455,0.0627,"",S
2022-2023,7830615,Genesis Innovation Academy for Boys,Whole School Score,2c,Grade Band Score,percentage,73.92773291925462,66.87790372670808,74.06840062111803,Y
2022-2023,7820616,Georgia School for Innovation and the Classics,M,1d,Value-Add,decimal,0.05161166563630104,-0.020454061352211284,-0.01770733340526931,Y
2022-2023,7830626,Furlow Charter School,H,1a,Content Mastery,percentage,43.7,38.916560509554145,38.9891719745223,Y
2021-2022,7820120,Georgia Cyber Academy,H,1a,Content Mastery,percentage,62.1,55.0,60.3,Y
